ssn,lastname,firstname,hiredate,salary,gender,performance,positionID,locationID,
000-01-0000,Milgrom,Patricia,01/10/2004,"$57,500.00",F,Average,2,2,
000-02-2222,Adams,Sandy,15/01/2001,"$19,500.00",F,Average,3,1,
109-87-6543,Wood,Emily,12/03/1997,"$69,000.00",F,Average,2,5,
109-87-6544,Foster,Harold,14/08/2005,"$55,000.00",M,Good,1,3,
111-12-1111,Johnson,James,03/05/1996,"$47,500.00",M,Good,1,3,
123-45-6789,Coulter,Tracy,14/02/1993,"$100,000.00",,Good,2,1,
222-23-2222,Marlin,Bill,28/03/1977,"$125,000.00",M,,2,4,
222-52-5555,Smith,Mary,01/01/2006,"$42,500.00",F,Average,1,3,
245-67-8910,Johanson,Sandy,02/06/2005,"$69,000.00",F,,1,6,
333-34-3333,Manin,Emily,01/12/2000,"$49,500.00",F,Average,1,2,
333-43-4444,Smith,Frank,29/01/1991,"$65,000.00",M,Good,1,1,
333-66-1234,Brown,Marietta,07/03/2001,"$18,500.00",F,Poor,3,1,
335-55-5533,Jones,Holly,08/04/1986,"$65,000.00",F,Good,2,5,
432-19-8765,Bronson,Paul,20/11/2003,"$58,000.00",M,Good,2,6,
444-45-4444,Frank,Vernon,10/04/1985,"$75,000.00",M,Good,1,4,
464-64-4466,Webster,David,29/01/1991,"$58,500.00",M,Poor,2,7,
500-50-0505,Rodriguez,Jose,16/07/1998,"$150,000.00",M,Good,4,5,
555-22-3333,Rubin,Patricia,25/07/2003,"$45,000.00",F,Average,1,2,
555-56-5555,Charles,Kenneth,18/06/1998,"$40,000.00",M,Poor,1,2,
612-99-1111,Roberts,Melissa,14/05/1984,"$79,000.00",F,Good,2,3,
625-62-6262,Holmes,Holly,15/06/1992,"$55,000.00",F,Average,2,4,
767-74-7373,Martin,William,26/08/2006,"$23,000.00",M,Good,3,5,
776-67-6666,Adamson,David,04/10/2002,"$52,000.00",M,Poor,2,3,
777-78-7777,Marder,Kelly,25/09/1997,"$38,500.00",F,Average,1,3,
925-45-7116,Whitehead,David,25/07/1980,"$175,000.00",M,Good,4,2,
